Timestamp (ms)	Yaw (degree)	Pitch (degree)	Roll (degree)
10.972261428833008	110.6	24.49	45.59
20.94411849975586	110.55	24.48	45.49
30.91716766357422	110.55	24.39	45.48
40.95602035522461	110.58	24.3	45.54
50.86469650268555	110.6	24.22	45.59
61.83600425720215	110.65	24.22	45.7
71.80953025817871	110.61	24.25	45.6
80.78527450561523	110.63	24.16	45.63
90.7583236694336	110.65	24.07	45.66
101.7301082611084	110.69	24.0	45.73
111.82975769042969	110.72	24.11	45.79
122.22909927368164	110.75	24.22	45.84
131.64710998535156	110.78	24.31	45.88
141.62278175354004	110.82	24.39	45.95
150.36797523498535	110.87	24.42	46.03
161.362886428833	110.84	24.34	46.01
171.37455940246582	110.79	24.41	45.92
180.3145408630371	110.73	24.48	45.82
191.79916381835938	110.7	24.59	45.74
201.6904354095459	110.74	24.66	45.8
212.25976943969727	110.79	24.66	45.89
221.54617309570312	110.83	24.61	45.97
231.20832443237305	110.87	24.55	46.05
241.89519882202148	110.9	24.49	46.14
251.15680694580078	110.92	24.41	46.19
262.12620735168457	110.9	24.54	46.16
271.1014747619629	110.87	24.66	46.1
282.135009765625	110.83	24.76	46.04
291.0478115081787	110.77	24.76	45.94
301.267147064209	110.74	24.67	45.88
313.1847381591797	110.73	24.58	45.85
321.14315032958984	110.72	24.49	45.85
331.1152458190918	110.74	24.41	45.88
341.25304222106934	110.75	24.48	45.95
351.0611057281494	110.7	24.55	45.86
362.34521865844727	110.65	24.57	45.76
371.59276008605957	110.6	24.56	45.66
382.0185661315918	110.55	24.59	45.55
391.96038246154785	110.58	24.66	45.62
401.92508697509766	110.62	24.7	45.7
412.07385063171387	110.64	24.74	45.78
421.872615814209	110.66	24.77	45.86
430.84716796875	110.67	24.68	45.91
441.8337345123291	110.61	24.63	45.83
451.49898529052734	110.56	24.6	45.74
461.08365058898926	110.51	24.57	45.65
470.74389457702637	110.46	24.54	45.56
481.71138763427734	110.44	24.46	45.5
491.68968200683594	110.44	24.36	45.49
501.65867805480957	110.47	24.27	45.54
512.3076438903809	110.51	24.29	45.64
521.2814807891846	110.5	24.2	45.61
530.2581787109375	110.51	24.31	45.64
541.367769241333	110.48	24.38	45.55
551.2020587921143	110.44	24.4	45.45
560.8780384063721	110.48	24.34	45.54
571.5937614440918	110.53	24.34	45.64
581.2017917633057	110.59	24.36	45.73
591.1805629730225	110.63	24.42	45.81
601.9372940063477	110.67	24.5	45.87
611.4754676818848	110.7	24.56	45.95
621.4883327484131	110.73	24.63	46.02
631.9782733917236	110.69	24.58	45.94
641.3943767547607	110.66	24.51	45.88
651.3698101043701	110.64	24.42	45.83
662.3384952545166	110.62	24.32	45.8
672.311544418335	110.63	24.22	45.81
681.2875270843506	110.63	24.12	45.82
695.2505111694336	110.59	24.08	45.74
701.2341022491455	110.54	24.14	45.65
710.0536823272705	110.49	24.2	45.55
721.0233211517334	110.44	24.23	45.45
731.0531139373779	110.41	24.31	45.37
740.9694194793701	110.45	24.35	45.46
750.9429454803467	110.49	24.31	45.55
761.3468170166016	110.52	24.24	45.62
771.3778018951416	110.55	24.17	45.69
781.414270401001	110.57	24.08	45.74
791.8522357940674	110.56	23.98	45.73
801.5444278717041	110.52	23.93	45.66
811.4497661590576	110.48	23.95	45.56
821.4590549468994	110.43	23.99	45.46
831.3987255096436	110.39	24.05	45.36
841.3734436035156	110.37	24.15	45.29
851.719856262207	110.35	24.26	45.23
861.3276481628418	110.39	24.3	45.31
871.2897300720215	110.44	24.27	45.41
881.2627792358398	110.46	24.17	45.45
891.2363052368164	110.48	24.07	45.48
901.2088775634766	110.53	24.12	45.57
912.1930599212646	110.58	24.11	45.67
921.7607975006104	110.63	24.1	45.76
931.1344623565674	110.68	24.1	45.86
941.7753219604492	110.72	24.1	45.95
951.6589641571045	110.75	24.09	46.05
962.2159004211426	110.76	24.01	46.12
971.0218906402588	110.71	23.98	46.03
980.9956550598145	110.66	23.97	45.94
991.0478591918945	110.61	23.96	45.85
1000.9429454803467	110.57	23.95	45.76
1010.9262466430664	110.53	23.97	45.65
1021.1551189422607	110.51	24.07	45.58
1030.928611755371	110.56	24.07	45.67
1041.0919189453125	110.61	24.06	45.77
1051.330327987671	110.65	24.05	45.88
1059.7848892211914	110.69	24.02	45.98
1071.9013214111328	110.66	23.99	45.9
1081.7711353302002	110.65	23.93	45.84
1091.8736457824707	110.67	23.84	45.86
1100.675344467163	110.71	23.91	45.93
1110.8245849609375	110.74	24.01	45.98
1120.786428451538	110.76	24.11	46.03
1130.7258605957031	110.78	24.22	46.07
1140.6989097595215	110.79	24.34	46.1
1151.6697406768799	110.74	24.32	46.01
1161.6451740264893	110.7	24.3	45.93
1171.618938446045	110.66	24.28	45.85
1181.5922260284424	110.62	24.26	45.75
1190.6163692474365	110.61	24.19	45.69
1201.5380859375	110.66	24.18	45.78
1211.6451263427734	110.71	24.19	45.86
1221.8081951141357	110.74	24.15	45.96
1231.5897941589355	110.72	24.06	45.94
1240.783452987671	110.71	23.97	45.92
1251.5366077423096	110.68	23.92	45.86
1262.5072002410889	110.67	23.87	45.79
1270.4851627349854	110.66	23.8	45.73
1280.8811664581299	110.66	23.73	45.69
1290.7907962799072	110.66	23.66	45.65
1300.4040718078613	110.65	23.62	45.59
1311.4280700683594	110.63	23.65	45.5
1321.4380741119385	110.62	23.75	45.43
1330.4059505462646	110.62	23.88	45.37
1340.3818607330322	110.64	24.0	45.31
1350.9223461151123	110.65	24.09	45.22
1361.403465270996	110.68	24.03	45.17
1370.887279510498	110.71	23.98	45.14
