Timestamp (ms)	Yaw (degree)	Pitch (degree)	Roll (degree)
8.900880813598633	225.08	5.3	34.7
19.871950149536133	225.06	5.36	34.79
30.702829360961914	225.05	5.44	34.87
39.81900215148926	225.04	5.53	34.93
49.79276657104492	225.03	5.62	35.0
60.19711494445801	225.03	5.68	35.09
70.73760032653809	225.02	5.65	35.19
80.71064949035645	225.01	5.56	35.26
90.6834602355957	224.99	5.45	35.29
102.65254974365234	224.97	5.34	35.27
110.63480377197266	224.93	5.26	35.21
120.60427665710449	224.89	5.24	35.12
130.7518482208252	224.84	5.29	35.03
140.57302474975586	224.81	5.36	34.95
150.52318572998047	224.77	5.45	34.88
159.93213653564453	224.74	5.56	34.85
170.03297805786133	224.72	5.66	34.87
181.00357055664062	224.68	5.66	34.77
189.36848640441895	224.63	5.66	34.68
200.32715797424316	224.59	5.63	34.59
209.92708206176758	224.55	5.6	34.51
220.89886665344238	224.53	5.59	34.41
230.54242134094238	224.52	5.58	34.32
240.8442497253418	224.53	5.59	34.42
250.81729888916016	224.54	5.59	34.51
260.4525089263916	224.53	5.61	34.62
270.4815864562988	224.5	5.69	34.56
280.59887886047363	224.46	5.7	34.49
291.5925979614258	224.42	5.69	34.41
301.3434410095215	224.4	5.68	34.32
313.3864402770996	224.4	5.66	34.23
319.8587894439697	224.43	5.57	34.21
329.7703266143799	224.47	5.57	34.29
338.6869430541992	224.5	5.59	34.38
349.7030735015869	224.5	5.6	34.49
359.5564365386963	224.49	5.62	34.6
370.3312873840332	224.48	5.67	34.7
380.30529022216797	224.46	5.77	34.71
390.4404640197754	224.45	5.85	34.65
400.282621383667	224.44	5.93	34.59
410.55846214294434	224.47	5.92	34.69
420.1991558074951	224.49	5.91	34.79
430.5884838104248	224.51	5.9	34.89
440.554141998291	224.51	5.86	35.0
450.1185417175293	224.5	5.81	35.1
460.64186096191406	224.47	5.72	35.18
469.65837478637695	224.43	5.6	35.18
480.6933403015137	224.39	5.55	35.1
490.66734313964844	224.36	5.52	35.01
500.6406307220459	224.34	5.49	34.92
510.61415672302246	224.36	5.46	35.0
520.5867290496826	224.36	5.45	35.08
530.6539535522461	224.35	5.43	35.17
539.5915508270264	224.31	5.41	35.27
550.5070686340332	224.27	5.47	35.35
560.4841709136963	224.2	5.55	35.31
570.4545974731445	224.12	5.57	35.24
580.488920211792	224.06	5.56	35.16
590.4321670532227	224.02	5.54	35.07
600.3739833831787	224.01	5.49	34.98
610.3465557098389	224.01	5.42	34.89
620.3193664550781	224.02	5.31	34.86
630.2947998046875	224.02	5.21	34.89
640.265941619873	224.02	5.1	34.89
650.2394676208496	223.99	5.08	34.81
660.3610515594482	223.96	5.1	34.73
670.3348159790039	223.94	5.12	34.64
679.4264316558838	223.96	5.13	34.56
688.817024230957	223.97	5.16	34.47
700.0582218170166	224.01	5.22	34.38
710.1840972900391	224.07	5.25	34.47
719.1650867462158	224.11	5.28	34.56
730.1340103149414	224.13	5.3	34.67
740.1087284088135	224.14	5.32	34.78
750.0805854797363	224.13	5.38	34.89
759.2430114746094	224.11	5.47	34.85
770.2169418334961	224.1	5.53	34.78
780.1868915557861	224.11	5.64	34.79
790.1601791381836	224.15	5.66	34.88
800.1344203948975	224.18	5.66	34.96
810.1067543029785	224.2	5.65	35.04
820.0807571411133	224.19	5.61	35.14
830.0540447235107	224.15	5.55	35.23
840.0266170501709	224.1	5.43	35.26
850.0025272369385	224.04	5.37	35.2
859.9734306335449	224.03	5.35	35.11
869.006872177124	224.02	5.34	35.02
879.9197673797607	224.04	5.27	34.92
888.8962268829346	224.06	5.19	34.85
899.8668193817139	224.06	5.14	34.94
909.8398685455322	224.05	5.03	34.99
919.8141098022461	224.02	4.96	34.93
929.7864437103271	224.01	4.9	34.88
939.7599697113037	224.02	4.84	34.82
949.732780456543	224.07	4.78	34.76
959.7065448760986	224.15	4.75	34.7
969.6805477142334	224.28	4.75	34.62
979.6533584594727	224.48	4.77	34.52
989.6266460418701	224.73	4.81	34.41
999.5996952056885	225.03	4.84	34.29
1009.5734596252441	225.35	4.83	34.28
1019.5472240447998	225.66	4.83	34.33
1029.51979637146	225.96	4.82	34.41
1039.4940376281738	226.25	4.83	34.46
1049.466848373413	226.58	4.86	34.45
1060.0216388702393	226.98	4.93	34.41
1068.939208984375	227.41	5.01	34.36
1079.909324645996	227.87	5.12	34.3
1089.8816585540771	228.36	5.3	34.21
1100.20112991333	228.88	5.52	34.29
1109.8287105560303	229.37	5.73	34.4
