Timestamp (ms)	Yaw (degree)	Pitch (degree)	Roll (degree)
8.903264999389648	95.46	27.68	-55.51
18.877267837524414	95.41	27.6	-55.6
29.927730560302734	95.36	27.62	-55.69
38.82336616516113	95.31	27.65	-55.78
49.79419708251953	95.26	27.67	-55.88
59.767961502075195	95.21	27.63	-55.98
68.74418258666992	95.25	27.63	-55.89
79.71906661987305	95.29	27.66	-55.8
89.77246284484863	95.34	27.67	-55.71
99.67446327209473	95.38	27.69	-55.62
109.63845252990723	95.39	27.79	-55.62
119.60887908935547	95.34	27.81	-55.71
129.58264350891113	95.3	27.82	-55.81
139.58191871643066	95.26	27.84	-55.9
149.57404136657715	95.22	27.85	-55.99
159.5320701599121	95.19	27.86	-56.09
169.56305503845215	95.24	27.84	-55.99
179.5806884765625	95.29	27.83	-55.9
189.4221305847168	95.34	27.81	-55.8
198.40002059936523	95.39	27.81	-55.7
209.65170860290527	95.38	27.9	-55.72
219.34223175048828	95.35	27.94	-55.79
229.40540313720703	95.33	28.0	-55.85
239.29190635681152	95.33	27.88	-55.84
249.26114082336426	95.34	27.75	-55.83
259.2742443084717	95.37	27.65	-55.78
268.65458488464355	95.39	27.56	-55.72
278.62548828125	95.42	27.49	-55.66
289.5979881286621	95.45	27.44	-55.59
298.5711097717285	95.42	27.52	-55.64
309.5424175262451	95.39	27.59	-55.7
319.5164203643799	95.37	27.67	-55.75
328.4931182861328	95.41	27.62	-55.67
338.46521377563477	95.52	27.64	-55.61
347.4400043487549	95.59	27.67	-55.63
358.4113121032715	95.55	27.58	-55.71
369.31371688842773	95.5	27.57	-55.81
378.28826904296875	95.44	27.55	-55.92
389.25981521606445	95.44	27.64	-55.95
399.2328643798828	95.48	27.68	-55.86
409.2059135437012	95.53	27.69	-55.77
419.17967796325684	95.56	27.69	-55.68
429.3396472930908	95.59	27.69	-55.59
439.17012214660645	95.62	27.66	-55.5
449.0997791290283	95.63	27.56	-55.45
459.45167541503906	95.57	27.54	-55.55
468.90783309936523	95.52	27.56	-55.64
479.8314571380615	95.48	27.59	-55.72
489.3364906311035	95.44	27.66	-55.77
499.77803230285645	95.48	27.68	-55.68
509.81855392456055	95.42	27.64	-55.78
520.723819732666	95.38	27.55	-55.86
528.695821762085	95.34	27.44	-55.93
539.7458076477051	95.3	27.38	-56.03
549.6406555175781	95.28	27.26	-56.06
559.6981048583984	95.33	27.29	-55.97
569.833517074585	95.36	27.36	-55.9
579.6949863433838	95.38	27.45	-55.85
589.6713733673096	95.41	27.55	-55.8
599.6594429016113	95.44	27.61	-55.73
609.9684238433838	95.49	27.63	-55.64
