Timestamp (ms)	Yaw (degree)	Pitch (degree)	Roll (degree)
120.6817626953125	179.99	0.0	-0.11
129.98414039611816	179.98	0.0	-0.23
138.9155387878418	179.96	0.0	-0.34
150.20394325256348	179.95	0.0	-0.45
160.2163314819336	179.94	0.0	-0.55
169.94643211364746	179.92	0.01	-0.66
180.2237033843994	179.91	0.01	-0.77
189.1648769378662	179.9	0.02	-0.88
200.1359462738037	179.88	0.02	-0.99
210.10947227478027	179.87	0.02	-1.11
220.08490562438965	179.85	0.03	-1.22
230.0567626953125	179.84	0.03	-1.33
240.03076553344727	179.83	0.04	-1.43
250.00452995300293	179.82	0.04	-1.54
260.01453399658203	179.81	0.04	-1.65
269.95372772216797	179.81	0.04	-1.75
279.9251079559326	179.81	0.04	-1.85
289.9434566497803	179.81	0.04	-1.96
299.99613761901855	179.8	0.04	-2.07
309.8492622375488	179.8	0.04	-2.17
319.86522674560547	179.79	0.04	-2.28
330.0001621246338	179.79	0.04	-2.39
338.76895904541016	179.78	0.05	-2.5
350.7828712463379	179.77	0.05	-2.61
359.71546173095703	179.77	0.05	-2.72
370.68653106689453	179.76	0.06	-2.83
379.88758087158203	179.75	0.06	-2.93
389.82081413269043	179.74	0.06	-3.04
399.79004859924316	179.73	0.07	-3.15
409.8372459411621	179.72	0.07	-3.26
419.7394847869873	179.71	0.07	-3.36
430.708646774292	179.7	0.08	-3.47
440.7320022583008	179.68	0.08	-3.58
449.9526023864746	179.67	0.09	-3.69
460.43992042541504	179.66	0.09	-3.8
470.4141616821289	179.66	0.09	-3.91
479.6791076660156	179.65	0.09	-4.02
489.363431930542	179.64	0.1	-4.13
500.333309173584	179.63	0.1	-4.24
510.30564308166504	179.62	0.1	-4.35
519.3357467651367	179.62	0.1	-4.45
530.2538871765137	179.61	0.09	-4.56
539.8364067077637	179.6	0.08	-4.66
549.9675273895264	179.58	0.07	-4.78
559.9226951599121	179.57	0.07	-4.89
570.0507164001465	179.55	0.07	-4.99
580.0788402557373	179.53	0.07	-5.09
589.9922847747803	179.51	0.07	-5.2
600.0282764434814	179.5	0.08	-5.31
609.9398136138916	179.49	0.08	-5.41
620.0695037841797	179.48	0.08	-5.52
629.8890113830566	179.47	0.08	-5.62
639.8606300354004	179.45	0.08	-5.73
649.8346328735352	179.44	0.09	-5.84
659.8072052001953	179.42	0.09	-5.95
668.7889099121094	179.41	0.09	-6.06
679.7530651092529	179.41	0.1	-6.17
689.7275447845459	179.4	0.1	-6.28
699.7005939483643	179.4	0.1	-6.39
709.6748352050781	179.41	0.1	-6.51
719.6500301361084	179.41	0.1	-6.62
729.6216487884521	179.41	0.1	-6.73
739.5966053009033	179.4	0.1	-6.84
749.5689392089844	179.4	0.1	-6.96
759.5429420471191	179.39	0.11	-7.06
769.5183753967285	179.38	0.13	-7.17
779.4888019561768	179.38	0.14	-7.28
789.4642353057861	179.38	0.14	-7.38
799.4372844696045	179.38	0.14	-7.49
809.4100952148438	179.38	0.13	-7.6
819.3857669830322	179.37	0.13	-7.71
829.357385635376	179.35	0.13	-7.82
839.3313884735107	179.34	0.14	-7.93
848.3068943023682	179.33	0.15	-8.04
859.2793941497803	179.32	0.15	-8.15
868.2770729064941	179.32	0.15	-8.26
879.2252540588379	179.31	0.16	-8.36
