Timestamp (ms)	Yaw (degree)	Pitch (degree)	Roll (degree)
10.876655578613281	7.46	1.7	-25.77
20.532608032226562	7.46	1.6	-25.81
30.505895614624023	7.46	1.61	-25.72
40.27366638183594	7.45	1.54	-25.8
50.22740364074707	7.44	1.6	-25.89
60.523271560668945	7.43	1.71	-25.9
70.09577751159668	7.42	1.81	-25.87
79.98251914978027	7.42	1.76	-25.78
89.95580673217773	7.42	1.68	-25.85
100.92854499816895	7.42	1.74	-25.76
110.90493202209473	7.4	1.74	-25.86
121.12307548522949	7.4	1.68	-25.77
130.84983825683594	7.39	1.61	-25.68
140.01107215881348	7.38	1.67	-25.76
151.08060836791992	7.37	1.73	-25.84
160.77208518981934	7.36	1.63	-25.8
170.7475185394287	7.35	1.71	-25.85
180.81974983215332	7.34	1.69	-25.75
191.68901443481445	7.34	1.69	-25.65
201.66611671447754	7.32	1.62	-25.73
210.63852310180664	7.31	1.67	-25.81
220.64900398254395	7.31	1.61	-25.89
230.85713386535645	7.3	1.62	-25.79
240.91124534606934	7.3	1.59	-25.69
251.0843276977539	7.3	1.55	-25.59
260.8182430267334	7.29	1.47	-25.66
270.77198028564453	7.28	1.42	-25.75
281.19778633117676	7.28	1.52	-25.7
291.2158966064453	7.27	1.58	-25.79
300.6703853607178	7.26	1.49	-25.85
311.12098693847656	7.26	1.51	-25.94
320.13702392578125	7.26	1.52	-25.84
331.09140396118164	7.26	1.63	-25.86
340.0564193725586	7.26	1.52	-25.84
351.0127067565918	7.26	1.54	-25.94
361.6821765899658	7.27	1.56	-25.84
371.22106552124023	7.28	1.66	-25.82
380.59282302856445	7.29	1.67	-25.72
391.1547660827637	7.3	1.58	-25.66
401.6106128692627	7.3	1.53	-25.58
410.5870723724365	7.3	1.6	-25.66
420.7313060760498	7.3	1.62	-25.76
431.5667152404785	7.3	1.64	-25.86
440.9921169281006	7.3	1.7	-25.95
451.48205757141113	7.31	1.7	-25.85
461.5304470062256	7.31	1.7	-25.75
471.42624855041504	7.32	1.72	-25.65
480.81231117248535	7.31	1.73	-25.74
490.3759956359863	7.3	1.71	-25.84
500.45228004455566	7.3	1.6	-25.85
511.28220558166504	7.29	1.52	-25.77
519.9551582336426	7.28	1.44	-25.69
530.2836894989014	7.26	1.53	-25.63
541.2557125091553	7.24	1.62	-25.59
550.2395629882812	7.22	1.73	-25.58
561.2046718597412	7.2	1.81	-25.65
570.7993507385254	7.18	1.7	-25.64
581.1498165130615	7.17	1.61	-25.6
591.1250114440918	7.16	1.5	-25.61
601.1011600494385	7.15	1.42	-25.65
611.2198829650879	7.13	1.34	-25.71
621.0451126098633	7.12	1.29	-25.78
631.096601486206	7.11	1.27	-25.87
641.0319805145264	7.12	1.36	-25.8
651.2372493743896	7.13	1.35	-25.69
661.5548133850098	7.14	1.34	-25.59
669.9144840240479	7.15	1.32	-25.49
680.8857917785645	7.15	1.29	-25.39
689.8620128631592	7.15	1.34	-25.49
699.8353004455566	7.15	1.42	-25.56
710.808277130127	7.16	1.5	-25.63
719.7818756103516	7.17	1.62	-25.64
729.8314571380615	7.18	1.73	-25.61
739.7663593292236	7.19	1.65	-25.67
749.7034072875977	7.19	1.59	-25.74
760.6751918792725	7.2	1.63	-25.64
769.6502208709717	7.19	1.69	-25.55
780.6210517883301	7.19	1.76	-25.47
790.5943393707275	7.18	1.83	-25.56
800.567626953125	7.18	1.74	-25.62
810.5490207672119	7.18	1.64	-25.64
820.537805557251	7.19	1.63	-25.56
830.4893970489502	7.19	1.56	-25.5
840.4624462127686	7.18	1.49	-25.58
849.440336227417	7.18	1.54	-25.68
860.4121208190918	7.18	1.63	-25.74
869.5099353790283	7.19	1.71	-25.81
880.3579807281494	7.2	1.83	-25.81
890.4459476470947	7.21	1.72	-25.82
900.1255035400391	7.22	1.81	-25.74
910.5122089385986	7.24	1.88	-25.65
920.4785823822021	7.25	1.95	-25.57
930.450439453125	7.26	2.0	-25.48
940.5004978179932	7.26	1.95	-25.58
950.3991603851318	7.27	2.03	-25.51
960.608720779419	7.27	2.1	-25.43
970.367431640625	7.28	2.12	-25.34
980.3321361541748	7.29	2.02	-25.36
990.8640384674072	7.29	2.13	-25.4
1001.2638568878174	7.29	2.12	-25.5
1011.2411975860596	7.29	2.06	-25.59
1020.2145576477051	7.29	2.09	-25.68
1030.8561325073242	7.29	2.17	-25.75
1041.0065650939941	7.3	2.26	-25.82
1050.4767894744873	7.3	2.33	-25.89
1062.7059936523438	7.31	2.23	-25.89
1070.4567432403564	7.31	2.15	-25.83
1081.538438796997	7.32	2.13	-25.73
1091.1483764648438	7.33	2.18	-25.64
1100.4273891448975	7.33	2.28	-25.59
1111.098051071167	7.33	2.19	-25.64
1121.119737625122	7.34	2.25	-25.57
1131.0434341430664	7.34	2.37	-25.58
1141.0162448883057	7.34	2.28	-25.64
1151.9865989685059	7.34	2.39	-25.65
1160.9630584716797	7.34	2.29	-25.64
1170.9365844726562	7.34	2.39	-25.61
1179.9118518829346	7.34	2.4	-25.72
1189.9676322937012	7.33	2.46	-25.81
1199.859619140625	7.34	2.43	-25.72
1210.8309268951416	7.33	2.33	-25.77
1219.8071479797363	7.33	2.33	-25.87
1229.7797203063965	7.32	2.33	-25.97
1240.7500743865967	7.32	2.44	-25.96
1249.8323917388916	7.32	2.42	-25.86
1260.972023010254	7.32	2.36	-25.78
1270.5869674682617	7.32	2.4	-25.68
1280.174732208252	7.31	2.46	-25.76
1290.1480197906494	7.31	2.46	-25.86
1300.1224994659424	7.3	2.35	-25.85
1310.805082321167	7.3	2.24	-25.81
1320.0798034667969	7.3	2.13	-25.77
1330.0423622131348	7.29	2.06	-25.69
1340.0170803070068	7.28	2.1	-25.6
1351.055383682251	7.26	2.17	-25.53
1359.9646091461182	7.24	2.27	-25.49
1370.9347248077393	7.22	2.36	-25.5
1378.9141178131104	7.2	2.46	-25.5
1390.4547691345215	7.19	2.52	-25.39
1401.5629291534424	7.17	2.41	-25.33
1411.1366271972656	7.14	2.29	-25.31
1421.0076332092285	7.1	2.22	-25.38
1431.514024734497	7.07	2.16	-25.46
1440.2422904968262	7.04	2.04	-25.5
1450.7112503051758	7.02	1.96	-25.41
1461.1051082611084	6.99	2.0	-25.51
1470.785140991211	6.96	2.02	-25.62
1480.7593822479248	6.94	1.93	-25.7
1490.8466339111328	6.93	1.81	-25.69
1500.7052421569824	6.91	1.85	-25.79
1510.6797218322754	6.89	1.93	-25.87
1520.7536220550537	6.88	2.03	-25.91
1530.6272506713867	6.88	2.11	-25.85
1540.6036376953125	6.88	2.07	-25.76
1550.5743026733398	6.87	1.96	-25.75
1560.5459213256836	6.87	1.84	-25.77
1570.5206394195557	6.85	1.77	-25.7
1579.4994831085205	6.84	1.72	-25.62
1590.4674530029297	6.83	1.82	-25.59
1601.4692783355713	6.81	1.91	-25.64
1610.414981842041	6.8	1.88	-25.75
1620.3899383544922	6.79	1.82	-25.86
1631.3982009887695	6.77	1.71	-25.9
1640.6433582305908	6.76	1.6	-25.88
1650.4831314086914	6.74	1.7	-25.91
1660.2938175201416	6.73	1.74	-26.0
1670.668363571167	6.71	1.79	-26.09
1680.6812286376953	6.7	1.88	-26.07
1690.9575462341309	6.7	1.81	-25.99
1700.5934715270996	6.69	1.71	-25.92
1710.6313705444336	6.67	1.73	-26.02
1720.5405235290527	6.65	1.68	-26.12
1729.515552520752	6.64	1.59	-26.06
1740.971326828003	6.62	1.52	-25.98
1751.1260509490967	6.61	1.6	-25.93
1759.4377994537354	6.59	1.68	-25.88
1770.4076766967773	6.58	1.62	-25.8
1780.3823947906494	6.56	1.5	-25.79
1791.353464126587	6.54	1.51	-25.89
1801.3551235198975	6.53	1.56	-25.98
1811.3000392913818	6.52	1.62	-25.9
1821.2754726409912	6.51	1.53	-25.83
1831.3312530517578	6.5	1.43	-25.9
1841.2213325500488	6.48	1.42	-26.01
